,tweet_id,favorites,retweets,user_followers,user_favourites,date_time
140,863471782782697472,0,2215,8898583,145976,2017-05-13 19:11:30+00:00
141,863432100342583297,22257,4791,8898583,145976,2017-05-13 16:33:49+00:00
142,863427515083354112,2058,87,8898583,145976,2017-05-13 16:15:35+00:00
143,863079547188785154,8216,1015,8898583,145976,2017-05-12 17:12:53+00:00
144,863062471531167744,7899,2215,8898583,145976,2017-05-12 16:05:02+00:00
145,862831371563274240,17969,4715,8898583,145976,2017-05-12 00:46:44+00:00
146,862722525377298433,16033,3248,8898583,145976,2017-05-11 17:34:13+00:00
147,862457590147678208,19128,4504,8898583,145976,2017-05-11 00:01:27+00:00
148,862096992088072192,69487,21231,8898583,145976,2017-05-10 00:08:34+00:00
149,861383897657036800,33858,9828,8898583,145976,2017-05-08 00:54:59+00:00
150,861288531465048066,16103,3802,8898583,145976,2017-05-07 18:36:02+00:00
151,861005113778896900,15662,3511,8898583,145976,2017-05-06 23:49:50+00:00
152,860981674716409858,0,1970,8898583,145976,2017-05-06 22:16:42+00:00
153,860924035999428608,0,728,8898583,145976,2017-05-06 18:27:40+00:00
154,860563773140209665,7045,1970,8898583,145976,2017-05-05 18:36:06+00:00
155,860524505164394496,22241,4875,8898583,145976,2017-05-05 16:00:04+00:00
156,860276583193509888,17305,3248,8898583,145976,2017-05-04 23:34:55+00:00
157,860184849394610176,15684,5395,8899221,145977,2017-05-04 17:30:24+00:00
158,860177593139703809,0,28496,8898583,145976,2017-05-04 17:01:34+00:00
159,859924526012018688,18465,3797,8898583,145976,2017-05-04 00:15:58+00:00
160,859851578198683649,14550,3258,8898583,145976,2017-05-03 19:26:06+00:00
161,859607811541651456,17557,1432,8898583,145976,2017-05-03 03:17:27+00:00
162,859196978902773760,84608,27839,8898583,145976,2017-05-02 00:04:57+00:00
163,859074603037188101,31864,12622,8898583,145976,2017-05-01 15:58:40+00:00
164,858860390427611136,0,7511,8898583,145976,2017-05-01 01:47:28+00:00
165,858843525470990336,14737,3216,8898583,145976,2017-05-01 00:40:27+00:00
166,858471635011153920,20350,4510,8898583,145976,2017-04-30 00:02:42+00:00
167,858107933456039936,14883,2683,8898583,145976,2017-04-28 23:57:28+00:00
168,857989990357356544,15189,2404,8898583,145976,2017-04-28 16:08:49+00:00
169,857746408056729600,32368,9889,8898583,145976,2017-04-28 00:00:54+00:00
170,857393404942143489,5569,1527,8898583,145976,2017-04-27 00:38:11+00:00
171,857263160327368704,19018,4213,8898583,145976,2017-04-26 16:00:39+00:00
172,857214891891077121,213,17,8898583,145976,2017-04-26 12:48:51+00:00
173,857062103051644929,0,155,8898583,145976,2017-04-26 02:41:43+00:00
174,857029823797047296,17861,3702,8898583,145976,2017-04-26 00:33:27+00:00
175,856543823941562368,15527,2688,8898583,145976,2017-04-24 16:22:16+00:00
176,856526610513747968,11270,1756,8898583,145976,2017-04-24 15:13:52+00:00
177,856330835276025856,0,624,8898583,145976,2017-04-24 02:15:55+00:00
178,856288084350160898,490,15,8898583,145976,2017-04-23 23:26:03+00:00
179,856282028240666624,26351,5871,8898583,145976,2017-04-23 23:01:59+00:00
180,855862651834028034,315,22,8899221,145977,2017-04-22 19:15:32+00:00
181,855860136149123072,4647,910,8898583,145976,2017-04-22 19:05:32+00:00
182,855857698524602368,11303,1970,8898583,145976,2017-04-22 18:55:51+00:00
183,855851453814013952,43620,16939,8898583,145976,2017-04-22 18:31:02+00:00
184,855818117272018944,25399,5088,8898583,145976,2017-04-22 16:18:34+00:00
185,855459453768019968,28366,7710,8898583,145976,2017-04-21 16:33:22+00:00
186,855245323840757760,0,5579,8898583,145976,2017-04-21 02:22:29+00:00
187,855138241867124737,0,41,8898583,145976,2017-04-20 19:16:59+00:00
188,854732716440526848,21692,5693,8898583,145976,2017-04-19 16:25:34+00:00
189,854482394044301312,27874,6423,8898583,145976,2017-04-18 23:50:52+00:00
190,854365224396361728,18034,4417,8898583,145976,2017-04-18 16:05:17+00:00
191,854120357044912130,30571,7017,8898583,145976,2017-04-17 23:52:16+00:00
192,854010172552949760,15531,2971,8898583,145976,2017-04-17 16:34:26+00:00
193,853760880890318849,27341,5437,8898583,145976,2017-04-17 00:03:50+00:00
194,853639147608842240,33131,9429,8898583,145976,2017-04-16 16:00:07+00:00
195,853299958564483072,14847,3358,8898583,145976,2017-04-15 17:32:18+00:00
196,852936405516943360,0,1876,8898583,145976,2017-04-14 17:27:40+00:00
197,852912242202992640,8634,1703,8898583,145976,2017-04-14 15:51:39+00:00
198,852672615818899456,14311,2044,8898583,145976,2017-04-13 23:59:28+00:00
199,852553447878664193,15611,3284,8898583,145976,2017-04-13 16:05:56+00:00
200,852311364735569921,31806,9420,8898583,145976,2017-04-13 00:03:59+00:00
201,852226086759018497,19211,6502,8898583,145976,2017-04-12 18:25:07+00:00
202,852189679701164033,11023,1509,8898583,145976,2017-04-12 16:00:27+00:00
203,851861385021730816,0,19,8898583,145976,2017-04-11 18:15:55+00:00
204,851591660324737024,15666,3293,8898583,145976,2017-04-11 00:24:08+00:00
205,851464819735769094,23327,6717,8898583,145976,2017-04-10 16:00:07+00:00
206,851224888060895234,19925,5469,8898583,145976,2017-04-10 00:06:42+00:00
207,850753642995093505,29608,8633,8898583,145976,2017-04-08 16:54:09+00:00
208,850380195714523136,12640,2476,8898583,145976,2017-04-07 16:10:12+00:00
209,850333567704068097,3332,311,8898583,145976,2017-04-07 13:04:55+00:00
210,850145622816686080,15742,3611,8898583,145976,2017-04-07 00:38:06+00:00
211,850019790995546112,19688,4641,8898583,145976,2017-04-06 16:18:05+00:00
212,849776966551130114,29298,7225,8898583,145976,2017-04-06 00:13:11+00:00
213,849668094696017920,0,4733,8898583,145976,2017-04-05 17:00:34+00:00
214,849412302885593088,15328,3001,8898583,145976,2017-04-05 00:04:08+00:00
215,849336543269576704,11027,1804,8898583,145976,2017-04-04 19:03:06+00:00
216,849051919805034497,40881,8078,8898583,145976,2017-04-04 00:12:06+00:00
217,848690551926992896,24352,4143,8898583,145976,2017-04-03 00:16:10+00:00
218,848324959059550208,23907,4425,8898583,145976,2017-04-02 00:03:26+00:00
219,848213670039564288,7897,688,8898583,145976,2017-04-01 16:41:12+00:00
220,848212111729840128,15783,2889,8898583,145976,2017-04-01 16:35:01+00:00
221,847978865427394560,0,3123,8898583,145976,2017-04-01 01:08:10+00:00
222,847971574464610304,0,420,8898583,145976,2017-04-01 00:39:12+00:00
223,847962785489326080,22776,4855,8898583,145976,2017-04-01 00:04:17+00:00
224,847842811428974592,5242,1263,8898583,145976,2017-03-31 16:07:33+00:00
225,847617282490613760,6764,393,8898583,145976,2017-03-31 01:11:22+00:00
226,847606175596138505,18185,3281,8898583,145976,2017-03-31 00:27:14+00:00
227,847251039262605312,19862,4141,8898583,145976,2017-03-30 00:56:03+00:00
228,847157206088847362,19250,5611,8898583,145976,2017-03-29 18:43:12+00:00
229,847116187444137987,20812,3052,8898583,145976,2017-03-29 16:00:12+00:00
230,846874817362120707,19454,3760,8898583,145976,2017-03-29 00:01:05+00:00
231,846514051647705089,43216,11064,8898583,145976,2017-03-28 00:07:32+00:00
232,846505985330044928,13688,2940,8898583,145976,2017-03-27 23:35:28+00:00
233,846153765933735936,30595,8664,8898583,145976,2017-03-27 00:15:53+00:00
234,846139713627017216,30129,9668,8898583,145976,2017-03-26 23:20:02+00:00
235,846042936437604353,15505,2747,8898583,145976,2017-03-26 16:55:29+00:00
236,845812042753855489,28352,8334,8898583,145976,2017-03-26 01:38:00+00:00
237,845677943972139009,24475,4622,8898583,145976,2017-03-25 16:45:08+00:00
238,845397057150107648,7395,1717,8898583,145976,2017-03-24 22:08:59+00:00
239,845306882940190720,22661,5173,8898583,145976,2017-03-24 16:10:40+00:00
240,845098359547420673,0,7367,8898583,145976,2017-03-24 02:22:04+00:00
241,844979544864018432,13259,2446,8898583,145976,2017-03-23 18:29:57+00:00
242,844973813909606400,14618,3050,8898583,145976,2017-03-23 18:07:10+00:00
243,844580511645339650,16012,2993,8898583,145976,2017-03-22 16:04:20+00:00
244,843981021012017153,14778,2846,8898566,145976,2017-03-21 00:22:10+00:00
245,843856843873095681,20879,4441,8898566,145976,2017-03-20 16:08:44+00:00
246,843604394117681152,16444,2635,8898566,145976,2017-03-19 23:25:35+00:00
247,843235543001513987,20938,5789,8898566,145976,2017-03-18 22:59:54+00:00
248,842846295480000512,14897,3501,8898566,145976,2017-03-17 21:13:10+00:00
249,842765311967449089,6551,1218,8898566,145976,2017-03-17 15:51:22+00:00
250,842535590457499648,17670,3388,8898566,145976,2017-03-17 00:38:32+00:00
251,842163532590374912,23821,5579,8898566,145976,2017-03-16 00:00:07+00:00
252,842115215311396866,13618,2913,8898566,145976,2017-03-15 20:48:07+00:00
253,841833993020538882,0,14498,8898566,145976,2017-03-15 02:10:39+00:00
254,841680585030541313,25155,7567,8898566,145976,2017-03-14 16:01:03+00:00
255,841439858740625411,12325,3549,8898566,145976,2017-03-14 00:04:30+00:00
256,841320156043304961,19331,5326,8898566,145976,2017-03-13 16:08:50+00:00
257,841314665196081154,15464,4487,8898566,145976,2017-03-13 15:47:01+00:00
258,841077006473256960,22315,5131,8898566,145976,2017-03-13 00:02:39+00:00
259,840761248237133825,0,1706,8898566,145976,2017-03-12 03:07:56+00:00
260,840728873075638272,0,15512,8898566,145976,2017-03-12 00:59:17+00:00
261,840698636975636481,172,2,8898566,145976,2017-03-11 22:59:09+00:00
262,840696689258311684,11990,942,8898566,145976,2017-03-11 22:51:24+00:00
263,840632337062862849,8784,1706,8898566,145976,2017-03-11 18:35:42+00:00
264,840370681858686976,16065,4407,8898566,145976,2017-03-11 01:15:58+00:00
265,840268004936019968,18811,5548,8898566,145976,2017-03-10 18:27:58+00:00
266,839990271299457024,13127,2202,8899222,145977,2017-03-10 00:04:21+00:00
267,839549326359670784,26841,7511,8898566,145976,2017-03-08 18:52:12+00:00
268,839290600511926273,0,139,8898566,145976,2017-03-08 01:44:07+00:00
269,839239871831150596,26506,6320,8898566,145976,2017-03-07 22:22:32+00:00
270,838952994649550848,19238,3874,8898566,145976,2017-03-07 03:22:35+00:00
271,838921590096166913,10886,1982,8898566,145976,2017-03-07 01:17:48+00:00
272,838916489579200512,0,33,8898566,145976,2017-03-07 00:57:32+00:00
273,838831947270979586,0,10684,8898566,145976,2017-03-06 19:21:35+00:00
274,838561493054533637,10742,1290,8898566,145976,2017-03-06 01:26:54+00:00
275,838476387338051585,21996,4619,8898566,145976,2017-03-05 19:48:43+00:00
276,838201503651401729,0,9740,8898566,145976,2017-03-05 01:36:26+00:00
277,838150277551247360,1633,323,8898566,145976,2017-03-04 22:12:52+00:00
278,838085839343206401,138,1,8898566,145976,2017-03-04 17:56:49+00:00
279,838083903487373313,17279,3027,8898566,145976,2017-03-04 17:49:08+00:00
280,837820167694528512,33359,7622,8898566,145976,2017-03-04 00:21:08+00:00
281,837482249356513284,3785,431,8898566,145976,2017-03-03 01:58:22+00:00
282,837471256429613056,12541,2200,8898566,145976,2017-03-03 01:14:41+00:00
283,837110210464448512,15729,2301,8898566,145976,2017-03-02 01:20:01+00:00
284,836989968035819520,12504,2242,8898566,145976,2017-03-01 17:22:13+00:00
285,836753516572119041,18980,4519,8898566,145976,2017-03-01 01:42:39+00:00
286,836677758902222849,12394,2170,8898566,145976,2017-02-28 20:41:37+00:00
287,836648853927522308,0,537,8898566,145976,2017-02-28 18:46:45+00:00
288,836397794269200385,0,26747,8898566,145976,2017-02-28 02:09:08+00:00
289,836380477523124226,14495,2908,8898566,145976,2017-02-28 01:00:19+00:00
290,836260088725786625,20914,4197,8898566,145976,2017-02-27 17:01:56+00:00
291,836001077879255040,18725,4150,8898566,145976,2017-02-26 23:52:43+00:00
292,835685285446955009,0,7921,8898566,145976,2017-02-26 02:57:52+00:00
293,835574547218894849,17470,3522,8898566,145976,2017-02-25 19:37:50+00:00
294,835536468978302976,0,1646,8899222,145977,2017-02-25 17:06:32+00:00
295,835309094223372289,0,20391,8898566,145976,2017-02-25 02:03:02+00:00
296,835297930240217089,16181,2920,8898566,145976,2017-02-25 01:18:40+00:00
297,835264098648616962,7582,1646,8898566,145976,2017-02-24 23:04:14+00:00
298,835246439529840640,2061,71,8898566,145976,2017-02-24 21:54:03+00:00
299,835172783151792128,25713,5618,8898566,145976,2017-02-24 17:01:22+00:00
300,835152434251116546,21957,2918,8898566,145976,2017-02-24 15:40:31+00:00
301,834931633769889797,10603,1586,8898566,145976,2017-02-24 01:03:08+00:00
302,834786237630337024,21048,5378,8898566,145976,2017-02-23 15:25:23+00:00
303,834574053763584002,13403,2457,8898566,145976,2017-02-23 01:22:14+00:00
304,834477809192075265,0,10377,8898566,145976,2017-02-22 18:59:48+00:00
305,834458053273591808,9465,1637,8898566,145976,2017-02-22 17:41:18+00:00
306,834209720923721728,20183,4629,8898566,145976,2017-02-22 01:14:30+00:00
307,834167344700198914,15555,3575,8898566,145976,2017-02-21 22:26:07+00:00
308,834089966724603904,9866,2082,8898566,145976,2017-02-21 17:18:39+00:00
309,834086379323871233,12843,2151,8898566,145976,2017-02-21 17:04:24+00:00
310,833863086058651648,13213,2350,8898566,145976,2017-02-21 02:17:06+00:00
311,833826103416520705,17787,3684,8898566,145976,2017-02-20 23:50:09+00:00
312,833732339549220864,0,217,8898566,145976,2017-02-20 17:37:34+00:00
313,833722901757046785,20495,3152,8898566,145976,2017-02-20 17:00:04+00:00
314,833479644947025920,14630,1994,8898566,145976,2017-02-20 00:53:27+00:00
315,833124694597443584,19866,4733,8898566,145976,2017-02-19 01:23:00+00:00
316,832998151111966721,13032,2139,8898566,145976,2017-02-18 17:00:10+00:00
317,832769181346996225,0,38,8898566,145976,2017-02-18 01:50:19+00:00
318,832757312314028032,16603,3529,8898566,145976,2017-02-18 01:03:09+00:00
319,832682457690300417,11677,2845,8898566,145976,2017-02-17 20:05:43+00:00
320,832645525019123713,2884,521,8898566,145976,2017-02-17 17:38:57+00:00
321,832636094638288896,15606,2721,8898566,145976,2017-02-17 17:01:29+00:00
322,832397543355072512,11785,2158,8898566,145976,2017-02-17 01:13:34+00:00
323,832369877331693569,16890,3123,8898566,145976,2017-02-16 23:23:38+00:00
324,832273440279240704,11154,2279,8898566,145976,2017-02-16 17:00:25+00:00
325,832215909146226688,0,6068,8898566,145976,2017-02-16 13:11:49+00:00
326,832215726631055365,0,9115,8898566,145976,2017-02-16 13:11:05+00:00
327,832088576586297345,62,2,8898566,145976,2017-02-16 04:45:50+00:00
328,832040443403784192,0,9376,8898566,145976,2017-02-16 01:34:34+00:00
329,832032802820481025,17576,4559,8899222,145977,2017-02-16 01:04:13+00:00
330,831939777352105988,23596,5995,8898566,145976,2017-02-15 18:54:34+00:00
331,831926988323639298,330,34,8898566,145976,2017-02-15 18:03:45+00:00
332,831911600680497154,27154,6351,8898565,145976,2017-02-15 17:02:36+00:00
333,831670449226514432,10259,1772,8898565,145976,2017-02-15 01:04:21+00:00
334,831650051525054464,7007,1876,8898565,145976,2017-02-14 23:43:18+00:00
335,831552930092285952,8838,2269,8898565,145976,2017-02-14 17:17:22+00:00
336,831322785565769729,9140,1521,8898565,145976,2017-02-14 02:02:51+00:00
337,831315979191906304,6443,1102,8898565,145976,2017-02-14 01:35:49+00:00
338,831309418084069378,11593,2411,8898565,145976,2017-02-14 01:09:44+00:00
339,831262627380748289,11723,1994,8898565,145976,2017-02-13 22:03:49+00:00
